["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Collections", "Objects and Classes", "Generic Programming"]
["Fundamental Programming Structures in Java", "Collections", "Concurrency"]	["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Inheritance", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Exceptions, Assertions, and Logging", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]	["Concurrency", "Graphical User Interface Programming", "Collections"]
["Objects and Classes", "Inheritance", "Collections"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]	["User Interface Components with Swing", "Concurrency", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Inheritance", "Fundamental Programming Structures in Java", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Objects and Classes", "User Interface Components with Swing", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Concurrency"]	["Objects and Classes", "Concurrency", "Exceptions, Assertions, and Logging"]
["Collections", "Graphical User Interface Programming", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]
["Exceptions, Assertions, and Logging", "Collections", "Generic Programming"]	["Concurrency", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]	["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]
["Concurrency", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]	["Graphical User Interface Programming", "Collections", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "User Interface Components with Swing"]
["Concurrency", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Objects and Classes", "Graphical User Interface Programming"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]	["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Generic Programming"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Inheritance", "Generic Programming"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Collections", "Exceptions, Assertions, and Logging", "User Interface Components with Swing"]	["Exceptions, Assertions, and Logging", "Collections", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Generic Programming", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Generic Programming", "Collections", "Inheritance"]	["Objects and Classes", "Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]
["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Concurrency", "Collections", "Objects and Classes"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Concurrency", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["User Interface Components with Swing", "Objects and Classes", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Collections", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "Concurrency", "Collections"]
